Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"359269000","2212000","3269","2707.1",""
"360101000","2212000","3269","2713.8",""
"360936000","2212000","3269","2720.1","0x23D39B7280004808"
"361770000","2212000","3269","2725.6","0x3D3BD3280004870"
"362852000","2249900","3269","2734.3",""
"363745000","2249900","3269","2740.2","0x3D39EFE80004870"
"364579000","2249900","3269","2746.9",""
"365413000","2249900","3269","2752.9",""
"366251000","2249900","3269","2758.8",""
"367334000","2249900","3268","2767.1",""
"368226000","2249900","3269","2773.4",""
"369060000","2249900","3269","2780.1",""
"369893000","2189800","3269","2785.2",""
"370728000","2189800","3270","2791.9",""
"371812000","2189800","3270","2799.8","0x3D39B6E80004808"
"372704000","2189800","3269","2806.5","0x3D39F1A80004870"
"373538000","2189800","3269","2812.8",""
"374372000","2189800","3269","2818.3",""
"375204000","2189800","3269","2825.0",""
"376293000","2189800","3268","2832.5",""
"377185000","2246100","3269","2839.2",""
"378018000","2246100","3269","2845.2",""
"378850000","2246100","3269","2851.5",""
"379684000","2246100","3269","2857.8",""
"380768000","2246100","3269","2865.3",""
"381659000","2246100","3268","2872.4",""
"382494000","2246100","3268","2877.9",""
"383327000","2246100","3269","2884.2",""
"384162000","2227400","3269","2890.5",""
"385245000","2227400","3268","2898.4",""
"386143000","2227400","3269","2905.5",""
"386977000","2227400","3269","2911.0",""
"387812000","2227400","3269","2917.4",""
"388644000","2227400","3268","2923.3",""
"389787000","2227400","3269","2932.0",""
"390620000","2227400","3269","2937.9",""
"391454000","2229400","3268","2944.2",""
"392293000","2229400","3268","2950.5",""
"393127000","2229400","3268","2956.0",""
"394210000","2229400","3268","2964.7",""
"395100000","2229400","3268","2970.6",""
"395940000","2229400","3268","2977.3",""
"396773000","2229400","3268","2983.6","0x23D39B7280004808"
"397607000","2229400","3268","2989.1","0x3D39F0880004870"
"398691000","2246500","3267","2997.8",""
"399583000","2246500","3268","3003.7",""
"400416000","2246500","3268","3010.1",""
"401250000","2246500","3268","3016.0",""
"402085000","2246500","3268","3022.7",""
"403169000","2246500","3267","3031.4",""
"404061000","2246500","3268","3038.9",""
"404894000","2246500","3268","3045.6",""
"405735000","2342700","3268","3052.3",""
"406569000","2342700","3268","3059.0",""
"407645000","2342700","3268","3068.1","0x3D3BD3AC0004870"
"408544000","2342700","3268","3075.2","0x3D3AEEC80004870"
"409378000","2342700","3268","3081.9",""
"410210000","2342700","3268","3089.0",""
"411045000","2342700","3268","3096.1","0x3D3BC6C80004970"
"412129000","2469400","3268","3104.4","0x3D39F2E80004870"
"413020000","2469400","3268","3110.7",""
"413854000","2469400","3268","3117.0",""
"414688000","2469400","3268","3123.3",""
"415527000","2469400","3267","3128.8",""
"416609000","2469400","3268","3137.5",""
"417500000","2469400","3268","3143.4",""
"418334000","2469400","3268","3149.8",""
"419168000","2224800","3267","3156.1",""
"420001000","2224800","3268","3162.0",""
"421084000","2224800","3268","3170.3","0x23D39B7280004808"
"421977000","2224800","3268","3176.2","0x3D39F2C80004870"
"422811000","2224800","3268","3182.9",""
"423644000","2224800","3268","3188.8",""
"424477000","2224800","3268","3194.7",""
"425565000","2224800","3267","3203.0",""
"426457000","2213700","3267","3209.3",""
"427292000","2213700","3268","3215.6",""
"428126000","2213700","3268","3221.2",""
"428960000","2213700","3267","3227.9",""
"430036000","2213700","3268","3235.4",""
"430934000","2213700","3268","3242.5",""
"431767000","2213700","3268","3248.8","0x23D39B7280004808"
"432601000","2213700","3268","3254.3","0x3D39F1C80004870"
"433436000","2244100","3268","3261.0",""
"434524000","2244100","3268","3268.5",""
"435416000","2244100","3268","3275.2",""
"436255000","2244100","3269","3281.1",""
"437088000","2244100","3269","3287.4",""
"437922000","2244100","3268","3294.1",""
"439005000","2244100","3269","3301.6",""
"439897000","2244100","3270","3308.3",""
"440731000","2195700","3269","3313.9",""
"441565000","2195700","3269","3320.6",""
"442399000","2195700","3269","3326.5",""
"443483000","2195700","3269","3334.4",""
"444375000","2195700","3269","3341.1","0x23D39B7280004808"
"445209000","2195700","3269","3347.0","0x3D39EFC80004870"
"446049000","2195700","3269","3353.3",""
"446883000","2195700","3269","3359.2",""
"447968000","2246500","3269","3367.5",""
"448860000","2246500","3269","3373.8",""
"449693000","2246500","3269","3379.7",""
"450526000","2246500","3268","3386.4",""
"451360000","2246500","3268","3392.0",""
"452444000","2246500","3268","3400.3",""
"453335000","2246500","3268","3406.2",""
"454169000","2246500","3268","3412.9",""
"455003000","2226000","3268","3419.2","0x23D39B7280004808"
"455842000","2226000","3269","3424.7","0x3D39F2680004870"
"456924000","2226000","3268","3433.4",""
"457817000","2226000","3268","3439.3",""
"458650000","2226000","3268","3446.0",""
"459483000","2226000","3268","3451.9",""
"460318000","2226000","3269","3457.8",""
"461402000","2226000","3268","3466.1","0x23D39B7280004808"
"462294000","2213100","3268","3472.4","0x3D39F1680004870"
"463127000","2213100","3268","3479.1",""
"463961000","2213100","3269","3484.3",""
"464795000","2213100","3269","3491.0",""
"465885000","2213100","3268","3498.9",""
"466777000","2213100","3268","3505.6",""
"467610000","2213100","3269","3511.9","0x23D39B7280004808"
"468444000","2213100","3269","3517.4","0x3D39F2280004870"
"469278000","2242400","3269","3524.1",""
"470361000","2242400","3269","3531.6",""
"471252000","2242400","3269","3538.7","0x3D39F3080004870"
"472086000","2242400","3269","3544.6","0x23D39B7280004808"
"472920000","2242400","3269","3550.5","0x3D39F3080004870"
"473754000","2242400","3268","3557.3",""
"474837000","2242400","3268","3564.7",""
"475735000","2242400","3268","3571.9",""
"476574000","2195300","3268","3577.0",""
"477408000","2195300","3269","3583.7",""
"478242000","2195300","3268","3590.0",""
"479326000","2195300","3268","3597.9",""
"480217000","2195300","3268","3605.4",""
"481052000","2195300","3268","3612.1",""
"481886000","2195300","3268","3619.2",""
"482720000","2195300","3268","3625.9",""
"483804000","2415200","3268","3634.6",""
"484696000","2415200","3267","3641.3",""
"485535000","2415200","3268","3648.0",""
"486370000","2415200","3268","3654.3",""
"487204000","2415200","3268","3660.6",""
"488288000","2415200","3269","3668.9",""
